age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
50,1,1,0,0,0,1,0,3,3,849,1,999,0,1,1.4,93.918,-42.7,4.961,5228.1
39,9,0,3,0,0,0,0,5,1,222,1,12,2,2,-1.8,93.369,-34.8,0.639,5008.7
38,9,1,5,0,1,0,0,1,1,479,1,999,0,1,1.4,93.444,-36.1,4.965,5228.1
24,9,1,6,0,1,1,0,9,3,89,2,3,1,2,-3.4,92.379,-29.8,0.77,5017.5
60,0,0,5,0,1,0,0,9,4,481,1,999,1,0,-1.1,94.199,-37.5,0.886,4963.6
32,1,1,2,0,0,0,0,7,1,1091,2,5,1,2,-0.1,93.2,-42.0,4.191,5195.8
31,9,2,3,0,1,1,0,1,3,768,1,999,0,1,1.4,93.444,-36.1,4.966,5228.1
45,0,2,6,0,0,0,0,1,2,505,1,999,0,1,1.4,93.444,-36.1,4.964,5228.1
41,2,1,6,0,1,0,0,7,3,854,1,999,0,1,-0.1,93.2,-42.0,4.153,5195.8
75,5,1,0,0,0,0,0,0,3,109,1,999,1,0,-1.8,93.075,-47.1,1.405,5099.1
38,0,0,6,0,0,0,0,0,1,360,1,999,0,1,-1.8,93.075,-47.1,1.392,5099.1
58,5,0,3,0,1,0,0,4,3,663,1,999,0,1,-2.9,92.963,-40.8,1.262,5076.2
53,1,0,0,0,0,0,1,4,4,706,1,999,0,1,1.4,94.465,-41.8,4.959,5228.1
28,9,2,5,0,1,0,0,1,2,63,2,3,1,2,-2.9,92.201,-31.4,0.851,5076.2
82,3,1,0,0,0,0,1,9,3,279,3,3,2,2,-1.1,94.199,-37.5,0.877,4963.6
31,10,2,6,0,1,0,0,3,3,309,1,6,3,2,-1.7,94.215,-40.3,0.835,4991.6
45,0,1,3,0,1,0,0,8,0,738,3,6,1,2,-1.1,94.601,-49.5,1.029,4963.6
52,1,1,2,0,0,0,0,1,0,809,1,999,0,1,1.4,93.444,-36.1,4.966,5228.1
50,1,1,1,0,1,0,0,6,1,293,3,3,1,2,-1.8,92.893,-46.2,1.354,5099.1
50,1,0,3,0,1,1,0,3,1,629,2,999,0,1,1.4,93.918,-42.7,4.96,5228.1
76,5,2,0,0,0,0,0,7,1,347,4,6,1,2,-3.4,92.649,-30.1,0.715,5017.5
33,0,2,6,0,1,0,0,1,2,686,4,999,0,1,1.4,93.444,-36.1,4.963,5228.1
41,7,1,3,0,0,0,0,5,4,377,6,999,0,1,-1.8,92.843,-50.0,1.778,5099.1
32,9,1,5,0,1,0,0,3,2,255,1,999,0,1,1.4,93.918,-42.7,4.963,5228.1
54,0,1,5,0,0,0,0,7,3,1868,2,10,1,2,-1.1,94.767,-50.8,1.035,4963.6
58,1,1,2,0,1,0,0,1,1,846,1,999,0,1,1.4,93.444,-36.1,4.97,5228.1
59,9,1,5,0,0,0,0,4,2,1207,4,999,1,0,-1.7,94.055,-39.8,0.742,4991.6
26,9,2,6,0,1,0,0,3,0,806,3,6,2,2,-1.7,94.215,-40.3,0.861,4991.6
57,5,1,2,0,0,0,0,1,3,388,4,999,0,1,1.4,93.444,-36.1,4.965,5228.1
29,0,2,6,0,1,0,0,5,1,215,1,999,0,1,-1.8,93.369,-34.8,0.639,5008.7
81,5,1,0,0,0,0,0,6,1,617,2,999,0,1,-1.8,92.893,-46.2,1.354,5099.1
34,0,1,3,0,1,0,0,4,4,238,1,6,2,2,-1.7,94.055,-39.8,0.704,4991.6
48,9,1,5,0,1,0,0,1,0,336,8,999,0,1,1.4,93.444,-36.1,4.964,5228.1
30,10,1,3,0,0,0,0,6,1,417,1,3,1,2,-1.8,92.893,-46.2,1.354,5099.1
45,1,1,3,0,1,1,0,7,1,449,2,5,3,2,-1.1,94.767,-50.8,1.05,4963.6
61,1,1,1,0,1,1,0,6,0,403,1,3,2,2,-1.8,93.876,-40.0,0.695,5008.7
67,3,0,5,0,1,0,0,7,1,655,2,5,5,2,-1.1,94.767,-50.8,1.039,4963.6
73,5,1,6,0,1,0,0,5,0,179,1,999,0,1,-1.8,92.843,-50.0,1.531,5099.1
44,6,2,5,0,1,0,0,6,1,775,5,999,1,0,-1.8,92.893,-46.2,1.354,5099.1
30,1,1,2,0,0,0,0,3,4,988,1,999,0,1,1.4,93.918,-42.7,4.963,5228.1
29,9,1,5,0,0,0,1,6,0,886,3,999,0,1,1.1,93.994,-36.4,4.864,5191.0
31,9,2,6,0,0,0,1,8,2,154,1,999,0,1,-0.1,93.798,-40.4,4.794,5195.8
44,2,1,0,0,1,0,0,6,3,955,2,999,0,1,-1.8,92.893,-46.2,1.344,5099.1
51,1,1,3,0,1,0,0,6,4,809,1,999,1,0,-1.8,92.893,-46.2,1.281,5099.1
38,4,1,6,0,1,0,0,6,0,1276,1,999,0,1,-1.8,92.893,-46.2,1.313,5099.1
33,0,1,6,0,1,0,0,4,3,690,1,999,0,1,-2.9,92.963,-40.8,1.262,5076.2
23,8,2,3,0,1,0,0,8,1,226,2,999,1,0,-1.1,94.601,-49.5,1.032,4963.6
33,9,1,5,0,0,0,0,0,2,285,1,999,0,1,-1.8,93.075,-47.1,1.41,5099.1
37,4,1,6,0,1,0,0,3,0,292,1,6,1,2,-1.7,94.215,-40.3,0.896,4991.6
31,9,1,2,0,0,1,0,3,2,1319,5,999,0,1,1.4,93.918,-42.7,4.958,5228.1
36,9,2,5,0,0,0,0,4,0,146,2,999,0,1,-2.9,92.963,-40.8,1.268,5076.2
40,9,2,6,0,0,0,0,7,1,130,1,7,2,0,-3.4,92.649,-30.1,0.714,5017.5
35,7,1,5,0,1,0,0,0,2,218,2,6,1,2,-1.8,93.749,-34.6,0.644,5008.7
54,0,1,6,0,1,1,0,1,0,204,1,999,1,0,-2.9,92.201,-31.4,0.849,5076.2
42,0,1,3,0,0,0,0,7,1,651,2,999,1,0,-0.1,93.2,-42.0,4.191,5195.8
31,8,2,6,0,0,0,0,3,0,608,3,6,2,2,-1.7,94.215,-40.3,0.885,4991.6
25,8,2,3,0,0,0,0,7,2,244,1,999,0,1,-1.1,94.767,-50.8,1.041,4963.6
34,9,1,6,0,1,0,0,7,4,686,1,999,0,1,-0.1,93.2,-42.0,4.12,5195.8
34,9,2,6,0,1,1,0,1,4,455,3,999,0,1,1.4,93.444,-36.1,4.967,5228.1
58,10,1,6,0,1,0,0,7,2,344,2,999,0,1,-1.1,94.767,-50.8,1.041,4963.6
30,9,2,3,0,0,0,0,1,1,638,4,999,0,1,1.4,93.444,-36.1,4.963,5228.1
57,5,1,0,0,1,1,1,0,3,1348,4,999,0,1,-1.8,93.075,-47.1,1.405,5099.1
41,2,1,6,0,1,0,0,1,2,324,1,999,0,1,-1.7,94.027,-38.3,0.904,4991.6
41,9,1,5,0,1,0,0,7,1,545,2,999,0,1,-1.1,94.767,-50.8,1.039,4963.6
42,7,1,6,0,0,0,0,2,4,179,1,6,1,2,-3.0,92.713,-33.0,0.715,5023.5
31,1,2,2,0,0,0,1,4,4,767,2,999,0,1,1.4,94.465,-41.8,4.864,5228.1
31,0,1,3,0,0,0,0,8,2,142,1,999,0,1,-3.4,92.431,-26.9,0.722,5017.5
33,0,1,6,0,1,0,0,7,0,482,1,12,1,2,-1.1,94.767,-50.8,1.049,4963.6
45,3,2,0,0,0,0,1,9,1,569,4,999,0,1,-3.4,92.379,-29.8,0.797,5017.5
41,9,1,3,0,0,0,0,1,1,697,2,999,0,1,1.4,93.444,-36.1,4.963,5228.1
75,5,1,6,0,1,0,0,3,2,229,1,999,2,0,-1.7,94.215,-40.3,0.81,4991.6
47,0,2,6,0,1,0,0,4,1,243,4,999,0,1,-2.9,92.963,-40.8,1.281,5076.2
27,9,2,6,0,1,0,0,8,4,184,1,999,1,0,-1.1,94.601,-49.5,1.043,4963.6
30,7,2,3,0,1,0,0,4,1,181,2,999,0,1,-2.9,92.963,-40.8,1.26,5076.2
41,0,1,6,0,0,0,0,3,1,1360,3,999,0,1,1.4,93.918,-42.7,4.96,5228.1
39,1,2,2,0,0,0,1,6,3,650,3,999,0,1,1.1,93.994,-36.4,4.856,5191.0
48,0,0,6,0,0,0,0,1,2,544,1,999,0,1,-1.7,94.027,-38.3,0.904,4991.6
21,8,2,3,0,1,1,0,4,4,286,2,999,0,1,-1.7,94.055,-39.8,0.767,4991.6
56,4,1,2,0,1,0,1,4,3,941,3,999,0,1,1.4,94.465,-41.8,4.864,5228.1
38,0,1,6,0,1,0,0,7,3,64,1,3,3,2,-3.4,92.649,-30.1,0.715,5017.5
24,0,2,3,0,1,1,0,5,4,224,1,999,0,1,-1.8,92.843,-50.0,1.602,5099.1
30,9,2,6,0,1,0,0,9,0,173,2,15,4,0,-1.1,94.199,-37.5,0.879,4963.6
51,1,1,2,0,0,1,1,6,0,653,1,999,0,1,1.1,93.994,-36.4,4.855,5191.0
54,4,1,6,0,0,0,0,6,1,397,1,999,1,0,-1.8,92.893,-46.2,1.264,5099.1
26,8,2,2,0,1,0,0,5,1,1447,2,999,0,1,-1.8,92.843,-50.0,1.811,5099.1
51,10,1,1,0,0,0,0,4,2,280,2,999,1,0,-2.9,92.963,-40.8,1.26,5076.2
33,9,2,5,0,1,0,0,1,3,396,2,999,0,1,1.4,93.444,-36.1,4.966,5228.1
25,1,2,3,0,0,0,0,6,0,1068,3,999,0,1,-1.8,92.893,-46.2,1.25,5099.1
54,0,2,6,0,0,0,0,6,1,337,1,999,0,1,-1.8,92.893,-46.2,1.264,5099.1
36,0,2,2,0,1,0,0,6,3,458,1,999,0,1,-1.8,92.893,-46.2,1.291,5099.1
50,0,1,6,0,0,0,0,1,3,587,2,999,1,0,-2.9,92.201,-31.4,0.859,5076.2
48,0,1,6,0,1,1,0,1,4,288,1,0,3,2,-1.7,94.027,-38.3,0.9,4991.6
33,0,1,6,0,1,0,0,9,2,272,2,999,0,1,-1.1,94.199,-37.5,0.878,4963.6
39,6,0,3,0,0,0,0,9,3,261,1,3,1,2,-3.4,92.379,-29.8,0.788,5017.5
52,4,1,3,0,1,1,0,1,3,167,1,10,4,0,-2.9,92.201,-31.4,0.883,5076.2
50,9,1,3,0,1,0,0,2,1,229,1,999,1,0,-3.0,92.713,-33.0,0.717,5023.5
35,0,1,6,0,0,0,0,4,2,121,4,999,0,1,-2.9,92.963,-40.8,1.26,5076.2
29,0,2,6,0,0,0,0,1,1,716,2,999,0,1,1.4,93.444,-36.1,4.965,5228.1
29,1,0,3,0,0,0,0,6,0,760,1,999,0,1,-1.8,92.893,-46.2,1.25,5099.1
36,1,2,2,0,1,1,1,4,2,762,3,999,0,1,1.4,94.465,-41.8,4.955,5228.1
28,4,2,6,0,0,0,1,4,2,651,5,999,0,1,1.4,94.465,-41.8,4.958,5228.1
30,0,2,6,0,0,0,0,7,0,331,2,999,0,1,-0.1,93.2,-42.0,4.021,5195.8
37,0,2,3,0,0,0,0,3,2,609,2,7,3,2,-1.7,94.215,-40.3,0.782,4991.6
71,5,1,3,0,0,0,0,9,1,363,1,999,0,1,-1.1,94.199,-37.5,0.879,4963.6
58,0,2,6,0,0,0,1,6,1,1234,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0
32,10,1,5,0,1,0,1,7,3,486,1,999,0,1,-0.1,93.2,-42.0,4.343,5195.8
27,0,2,6,0,0,0,0,5,3,238,4,999,0,1,-1.8,93.369,-34.8,0.635,5008.7
39,9,1,3,0,0,0,0,7,0,749,2,999,0,1,-0.1,93.2,-42.0,4.021,5195.8
31,0,2,6,0,1,0,0,3,4,1327,2,999,0,1,1.4,93.918,-42.7,4.963,5228.1
47,0,0,6,0,1,0,1,4,0,2653,3,999,0,1,1.4,94.465,-41.8,4.967,5228.1
32,0,2,3,0,0,0,0,0,2,1143,1,999,0,1,-1.8,93.075,-47.1,1.365,5099.1
36,0,1,6,0,1,0,0,3,4,570,2,999,0,1,1.4,93.918,-42.7,4.962,5228.1
42,0,2,6,0,1,1,1,6,4,938,1,999,0,1,1.1,93.994,-36.4,4.858,5191.0
68,5,1,6,0,1,0,0,3,1,546,2,999,1,0,-1.7,94.215,-40.3,0.889,4991.6
33,1,1,2,0,0,0,0,6,0,728,1,999,0,1,-1.8,92.893,-46.2,1.313,5099.1
31,9,1,6,0,0,0,0,9,2,244,1,3,1,2,-1.1,94.199,-37.5,0.878,4963.6
38,9,1,6,0,0,0,0,4,4,539,1,999,0,1,-2.9,92.963,-40.8,1.26,5076.2
45,1,1,0,0,1,0,0,3,2,367,2,999,0,1,1.4,93.918,-42.7,4.962,5228.1
54,10,1,2,0,0,0,0,6,4,193,1,3,1,2,-1.8,92.893,-46.2,1.27,5099.1
54,5,1,0,0,0,1,0,8,2,164,2,999,0,1,-3.4,92.431,-26.9,0.722,5017.5
78,5,1,0,0,0,0,0,3,1,1148,1,999,0,1,-1.7,94.215,-40.3,0.87,4991.6
27,7,2,3,0,0,0,0,3,0,423,3,999,0,1,-1.7,94.215,-40.3,0.79,4991.6
26,9,2,5,0,1,0,0,9,0,249,1,3,3,2,-1.1,94.199,-37.5,0.879,4963.6
80,5,1,0,0,0,0,0,6,1,382,1,3,3,2,-1.8,93.876,-40.0,0.697,5008.7
32,0,2,6,0,1,0,0,6,4,412,1,999,0,1,-1.8,92.893,-46.2,1.27,5099.1
33,1,1,1,0,0,0,1,6,4,1183,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0
44,7,0,3,0,0,0,0,6,1,903,4,999,0,1,-1.8,92.893,-46.2,1.244,5099.1
39,0,0,6,0,0,1,0,3,1,375,3,999,0,1,-1.7,94.215,-40.3,0.827,4991.6
44,0,0,3,0,1,0,1,7,1,1628,2,6,1,2,-3.4,92.649,-30.1,0.719,5017.5
54,5,1,0,0,1,0,0,0,0,840,3,999,0,1,-1.8,93.075,-47.1,1.405,5099.1
29,1,2,2,0,0,1,0,8,4,107,2,999,0,1,-3.4,92.431,-26.9,0.735,5017.5
29,0,1,6,0,0,1,0,4,3,347,3,5,1,2,-1.7,94.055,-39.8,0.702,4991.6
33,1,1,1,0,1,0,0,0,4,351,3,999,0,1,-1.8,93.075,-47.1,1.498,5099.1
44,7,0,3,0,1,0,0,6,2,533,1,999,0,1,-1.8,92.893,-46.2,1.266,5099.1
27,0,2,6,0,1,0,0,1,4,429,2,999,0,1,-2.9,92.201,-31.4,0.879,5076.2
41,0,1,6,0,0,0,0,1,3,766,2,999,0,1,1.4,93.444,-36.1,4.968,5228.1
29,7,2,3,0,1,1,0,4,4,431,2,999,2,0,-2.9,92.963,-40.8,1.26,5076.2
37,9,2,6,0,1,0,0,1,3,481,2,999,4,0,-1.7,94.027,-38.3,0.899,4991.6
55,0,1,3,0,0,1,0,0,4,307,1,999,1,0,-1.8,93.075,-47.1,1.405,5099.1
50,1,1,0,0,0,0,0,3,1,1130,3,999,0,1,1.4,93.918,-42.7,4.962,5228.1
48,4,1,6,0,1,1,0,7,3,747,2,999,0,1,-3.4,92.649,-30.1,0.715,5017.5
33,1,2,3,0,0,0,0,6,1,2301,1,999,0,1,-1.8,92.893,-46.2,1.244,5099.1
43,9,1,5,0,0,0,0,6,2,460,1,999,1,0,-1.8,93.876,-40.0,0.699,5008.7
30,0,1,6,0,1,0,0,0,3,496,1,999,0,1,-1.8,93.075,-47.1,1.423,5099.1
34,0,2,6,0,1,0,0,5,3,568,1,6,3,2,-1.8,93.369,-34.8,0.652,5008.7
42,9,1,5,0,0,0,0,1,2,295,1,6,2,2,-1.7,94.027,-38.3,0.899,4991.6
41,2,1,6,0,1,0,1,6,4,1138,1,999,0,1,1.1,93.994,-36.4,4.856,5191.0
33,1,1,2,0,1,0,0,3,4,1019,11,999,0,1,1.4,93.918,-42.7,4.957,5228.1
51,0,1,6,0,1,0,0,1,2,212,1,999,0,1,-2.9,92.201,-31.4,0.829,5076.2
36,4,0,6,0,1,0,0,4,1,422,1,3,4,2,-1.7,94.055,-39.8,0.72,4991.6
37,9,2,6,0,1,0,0,4,0,300,1,999,2,0,-1.7,94.055,-39.8,0.748,4991.6
30,6,1,6,0,0,0,0,4,1,212,4,999,0,1,-1.7,94.055,-39.8,0.72,4991.6
31,6,2,6,0,0,0,0,2,4,854,1,999,0,1,-3.0,92.713,-33.0,0.715,5023.5
28,10,2,2,0,0,1,0,1,3,261,1,999,1,0,-1.7,94.027,-38.3,0.899,4991.6
42,9,1,3,0,1,0,0,0,2,163,1,999,0,1,-1.8,93.075,-47.1,1.406,5099.1
37,9,1,6,0,1,0,0,8,4,364,1,999,1,0,-3.4,92.431,-26.9,0.742,5017.5
36,6,2,6,0,0,1,0,4,1,458,1,4,4,2,-1.7,94.055,-39.8,0.72,4991.6
32,10,2,5,0,1,1,0,4,4,310,1,999,0,1,-1.7,94.055,-39.8,0.704,4991.6
56,9,0,6,0,0,0,0,7,0,178,2,3,1,2,-3.4,92.649,-30.1,0.716,5017.5
41,0,1,6,0,1,0,0,7,3,95,1,3,1,2,-3.4,92.649,-30.1,0.715,5017.5
35,0,1,6,0,1,0,0,0,2,330,1,10,1,2,-1.8,93.749,-34.6,0.644,5008.7
40,10,2,0,0,0,0,0,4,3,355,1,999,0,1,-2.9,92.963,-40.8,1.252,5076.2
29,0,2,6,0,0,0,0,3,4,873,2,999,0,1,1.4,93.918,-42.7,4.957,5228.1
39,10,2,6,0,1,0,0,2,1,387,1,6,2,2,-3.0,92.713,-33.0,0.706,5023.5
30,0,2,6,0,1,0,0,4,4,617,2,999,0,1,-2.9,92.963,-40.8,1.26,5076.2
39,1,1,1,0,1,0,0,6,2,476,1,999,0,1,-1.8,92.893,-46.2,1.327,5099.1
26,0,1,3,0,1,0,0,7,0,338,1,7,1,2,-3.4,92.649,-30.1,0.714,5017.5
32,0,1,3,0,1,0,0,6,1,689,1,999,0,1,-1.8,92.893,-46.2,1.299,5099.1
31,1,1,5,0,1,0,0,3,4,458,2,999,0,1,1.4,93.918,-42.7,4.963,5228.1
46,9,0,6,0,1,0,0,7,0,796,5,999,1,0,-0.1,93.2,-42.0,4.021,5195.8
31,9,0,5,0,1,0,0,3,4,662,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1
31,0,1,5,0,0,1,0,2,1,367,2,999,1,0,-3.0,92.713,-33.0,0.709,5023.5
52,5,1,0,0,0,0,1,4,4,633,1,999,0,1,1.4,94.465,-41.8,4.864,5228.1
36,1,2,1,0,0,0,0,7,3,238,1,999,0,1,-1.1,94.767,-50.8,1.046,4963.6
57,0,0,3,0,0,0,0,9,3,473,1,3,5,2,-1.1,94.199,-37.5,0.877,4963.6
28,9,2,6,0,1,0,0,6,3,326,1,999,0,1,-1.8,92.893,-46.2,1.266,5099.1
37,0,2,6,0,1,0,0,0,2,261,1,999,0,1,-1.8,93.075,-47.1,1.365,5099.1
47,0,1,3,0,1,0,0,1,1,1152,3,999,0,1,1.4,93.444,-36.1,4.965,5228.1
51,0,1,6,0,1,0,0,3,0,139,5,999,0,1,-2.9,92.469,-33.6,0.921,5076.2
48,4,1,2,0,1,0,0,6,3,725,1,999,0,1,-1.8,92.893,-46.2,1.291,5099.1
30,0,2,6,0,1,0,0,3,2,873,8,999,0,1,1.4,93.918,-42.7,4.962,5228.1
50,0,1,6,0,1,0,0,7,1,183,1,3,1,2,-3.4,92.649,-30.1,0.714,5017.5
57,5,1,5,0,1,0,0,4,1,166,2,999,0,1,-2.9,92.963,-40.8,1.266,5076.2
44,0,1,6,0,1,0,0,1,2,254,2,999,0,1,-2.9,92.201,-31.4,0.883,5076.2
31,10,2,6,0,1,0,0,5,3,180,1,10,1,2,-1.8,93.369,-34.8,0.646,5008.7
33,0,2,6,0,0,0,0,4,4,206,1,3,1,2,-1.7,94.055,-39.8,0.715,4991.6
30,9,2,6,0,1,0,0,4,0,166,2,999,0,1,-2.9,92.963,-40.8,1.268,5076.2
39,9,1,5,0,0,0,1,8,2,171,1,999,0,1,-0.1,93.798,-40.4,4.921,5195.8
36,0,2,3,0,1,0,0,1,0,159,1,3,2,2,-2.9,92.201,-31.4,0.849,5076.2
21,8,2,3,0,0,0,0,8,3,362,1,999,0,1,-1.1,94.601,-49.5,0.982,4963.6
31,0,1,3,0,0,0,1,4,2,952,4,999,0,1,1.4,94.465,-41.8,4.961,5228.1
55,0,0,3,0,1,0,0,1,3,244,2,6,3,2,-1.7,94.027,-38.3,0.904,4991.6
38,3,0,6,0,0,0,0,7,4,403,2,999,0,1,-1.1,94.767,-50.8,1.03,4963.6
48,1,1,2,0,1,0,0,6,3,268,1,3,3,2,-1.8,93.876,-40.0,0.668,5008.7
31,9,1,5,0,0,0,0,3,2,3643,1,999,0,1,1.4,93.918,-42.7,4.963,5228.1
34,4,1,3,0,1,0,0,3,3,838,3,999,0,1,1.4,93.918,-42.7,4.961,5228.1
31,1,0,3,0,1,0,0,6,4,829,1,999,1,0,-1.8,92.893,-46.2,1.281,5099.1
27,7,2,6,0,1,0,0,5,1,104,1,6,1,2,-1.8,93.369,-34.8,0.652,5008.7
28,4,1,6,0,0,0,1,4,4,771,2,999,0,1,1.4,94.465,-41.8,4.962,5228.1
47,3,1,6,0,1,0,0,1,1,232,2,999,0,1,-2.9,92.201,-31.4,0.843,5076.2
33,4,2,6,0,1,1,0,0,4,1176,1,999,0,1,-1.8,93.075,-47.1,1.498,5099.1
31,9,2,6,0,1,0,0,7,1,984,1,999,0,1,-0.1,93.2,-42.0,4.191,5195.8
38,1,1,2,0,0,0,1,4,0,693,3,999,0,1,1.4,94.465,-41.8,4.959,5228.1
30,8,2,3,0,0,0,0,1,3,592,3,999,1,0,-1.7,94.027,-38.3,0.899,4991.6
32,7,1,3,0,1,0,1,6,4,628,2,999,0,1,-1.8,92.893,-46.2,1.27,5099.1
35,9,2,5,0,1,0,0,7,2,192,2,999,1,0,-3.4,92.649,-30.1,0.714,5017.5
22,1,2,2,0,1,1,0,3,1,848,1,999,0,1,1.4,93.918,-42.7,4.96,5228.1
52,9,1,5,0,1,1,0,9,1,211,1,999,1,0,-3.4,92.379,-29.8,0.797,5017.5
29,0,2,6,0,1,1,0,1,2,254,3,3,1,2,-2.9,92.201,-31.4,0.873,5076.2
50,9,1,5,0,1,0,1,6,0,855,2,999,0,1,1.1,93.994,-36.4,4.864,5191.0
29,0,1,6,0,1,0,0,6,1,565,1,999,0,1,-1.8,92.893,-46.2,1.244,5099.1
26,0,2,3,0,0,0,1,6,0,619,2,999,0,1,1.1,93.994,-36.4,4.859,5191.0
34,0,2,6,0,0,0,0,9,0,260,3,3,2,2,-3.4,92.379,-29.8,0.773,5017.5
57,6,1,6,0,0,1,0,3,2,1441,2,999,0,1,1.4,93.918,-42.7,4.962,5228.1
38,9,1,5,0,1,1,0,5,2,63,2,999,0,1,-1.8,92.843,-50.0,1.757,5099.1
33,0,2,6,0,1,0,1,8,2,166,3,6,2,2,-3.4,92.431,-26.9,0.74,5017.5
39,7,1,3,0,1,0,0,6,2,328,2,6,3,2,-1.8,93.876,-40.0,0.683,5008.7
59,0,1,6,0,0,0,1,8,3,85,1,999,0,1,-0.1,93.798,-40.4,4.968,5195.8
53,2,1,0,0,1,1,0,0,3,398,2,999,0,1,-1.8,93.749,-34.6,0.644,5008.7
48,4,1,6,0,1,0,0,8,4,294,1,999,1,0,-3.4,92.431,-26.9,0.74,5017.5
62,0,1,3,0,0,0,1,5,1,163,2,999,0,1,-1.8,92.843,-50.0,1.52,5099.1
24,7,2,3,0,0,0,0,3,2,1150,3,999,0,1,1.4,93.918,-42.7,4.958,5228.1
50,9,2,6,0,1,0,1,0,0,634,1,999,0,1,-1.8,93.749,-34.6,0.644,5008.7
46,0,0,3,0,1,0,0,4,1,372,1,999,0,1,-2.9,92.963,-40.8,1.26,5076.2
42,9,1,5,0,0,0,0,6,1,377,1,999,0,1,-1.8,92.893,-46.2,1.264,5099.1
41,0,1,1,0,0,0,0,0,0,1203,2,999,1,0,-1.8,93.075,-47.1,1.479,5099.1
56,5,1,3,0,1,1,0,3,0,308,2,999,0,1,-2.9,92.469,-33.6,1.059,5076.2
32,0,2,6,0,0,0,0,1,4,823,1,999,0,1,1.4,93.444,-36.1,4.965,5228.1
33,0,1,6,0,1,0,0,6,3,165,1,999,1,0,-1.8,92.893,-46.2,1.266,5099.1
33,7,2,6,0,1,0,0,8,1,252,2,3,2,2,-1.1,94.601,-49.5,0.977,4963.6
34,0,2,6,0,0,0,0,7,2,169,1,7,2,2,-3.4,92.649,-30.1,0.714,5017.5
